,reaction,Unnamed: 0,dG,dG_std,ddG0,dG_prime,lower_bound,upper_bound,sign,direction
16,R03353,16,-37.49951128,73.87484759,0.0,-37.49951128,-259.12405409999997,184.1250315,-47711.224610000005,0
17,R03352,17,21.08508313,6.32561625,-41.19581664,-20.11073351,-39.08758226,-1.13388476,44.32081383,0
18,R03357,18,61.96548359,6.3048217289999995,-44.67166984,17.29381376,-1.6206514269999999,36.20827895,-58.68099894,0
19,R01267,19,-1.0158070129999999,90.19516901,-1.6609239040000001,-2.676730917,-273.26223789999995,267.9087761,-73209.35173,0
20,R01266,20,-37.83252578,62.01496811,0.045945800999999994,-37.78657997,-223.83148430000003,148.2583244,-33184.8808,0
21,R01269,21,-132.7701527,237.23159869999998,0.640023515,-132.13012920000003,-843.8249252999999,579.5646669,-489051.1118,0
22,R01268,22,-76.62505417,81.94747005,0.234268248,-76.39078592,-322.2331961,169.4516242,-54602.93845,0
23,R02006,23,35.18294834,155.9837902,-42.85219119,-7.669242854,-475.6206135,460.2821277,-218919.668,0
24,R02007,24,41.30459969,214.165154,1.27e-06,41.30460096,-601.190861,683.800063,-411094.3486,0
25,R02004,25,-2.8809304910000004,214.1657434,-42.85219119,-45.73312168,-688.2303519,596.7641085,-410711.1724,0
26,R02003,26,-35.33715181,116.28617679999999,-42.85218862,-78.18934043,-427.04787080000006,270.66919,-115588.7013,0
27,R02008,27,-40.23259466,90.57045725,81.09339936,40.8608047,-230.8505671,312.5721765,-72157.46418,0
28,R02009,28,94.91633549,90.31647493,-42.85219119,52.064144299999995,-218.88528050000002,323.0135691,-70702.91567,0
29,R10742,29,-255.7410172,12.60486497,0.009653043,-255.7313642,-293.5459591,-217.9167693,63968.58705,2
30,R10743,30,95.14866432,195.9788499,-81.09494369,14.05372063,-573.8828291,601.9902703,-345471.8794,0
31,R10216,31,-171.0752134,57.35581727,-41.52765602,-212.6028694,-384.6703212,-40.53541759,15592.7721,2
32,R10217,32,-71.21715306,134.3051042,42.37685005,-28.84030301,-431.75561560000006,374.07500960000004,-161508.986,0
33,R10210,33,25.57638833,6.336100676,-37.55347653,-11.977088199999999,-30.98539023,7.031213827999999,-217.86490419999998,0
34,R10211,34,-295.28668680000004,202.71091919999998,0.012999863,-295.2736869,-903.4064445,312.8590707,-282638.9007,0
35,R10213,35,-34.10695494,131.5538598,42.38358335,8.276628412,-386.384951,402.93820780000004,-155689.2597,0
36,R10748,36,-9.379490277999999,6.306217362999999,2.749304435,-6.630185843,-25.54883793,12.28846625,-313.9560326,0
37,R10219,37,40.96941748,12.80500688,-0.293117141,40.67630034,2.2612797000000002,79.09132098,178.8475986,0
38,R05588,38,-2.625376952,8.155307908,0.009650775,-2.615726177,-27.081649900000002,21.85019755,-591.7394002,0
39,R05586,39,-22.42895671,6.367083839,0.028970637999999996,-22.39998608,-41.501237599999996,-3.298734563,136.9015669,0
40,R05587,40,-29.260135,107.2051304,0.035245077,-29.22488993,-350.8402811,292.39050130000004,-102582.3657,0
41,R05585,41,-120.6977264,9.277323048,120.99508929999999,0.29736287899999997,-27.53460627,28.12933202,-774.5300818,0
42,R05582,42,118.6969377,90.29129021,-42.4584156,76.23852207,-194.63534860000001,347.1123927,-67560.34154,0
43,R09002,43,-408.415547,163.71440790000003,44.81747386,-363.5980731,-854.7412968,127.5451506,-109018.1074,0
44,R05581,44,78.66888763,8.421244363,-42.37471432,36.29417331,11.03044022,61.5579064,679.0108067000001,0
45,R06859,45,72.26311613,243.7197844,-39.9225482,32.34056793,-698.8187853,763.4999211,-533548.0874,0
46,R06858,46,-13.91810155,238.5159997,-82.77158362,-96.68968516,-812.2376843,618.8583139,-502660.0438,0
47,R06854,47,46.38217712,96.48999161,122.4090816,168.7912587,-120.67871609999999,458.2612335,-55302.37731,0
48,R06857,48,35.45697963,90.80771756,-42.66720116,-7.210221532,-279.6333742,265.2129311,-74162.38682,0
49,R06856,49,-361.2052654,90.57026964,42.37684267,-318.8284227,-590.5392316000001,-47.11761378,27824.79944,2
50,R06851,50,-441.3062374,10.25954561,44.80945175,-396.4967856,-427.27542239999997,-365.7181488,156262.3765,2
51,R06850,51,15.08201649,6.377814998,40.54669968,55.62871617,36.49527118,74.76216116,2728.465345,1
52,R06853,52,8.317814251,97.94650381,-122.39258909999998,-114.07477479999999,-407.9142862,179.7647366,-73328.60423,0
53,R06852,53,109.7901275,16.18365895,-41.12536702,68.66476045,20.1137836,117.21573729999999,2357.651975,1
54,R04989,54,-339.61361469999997,116.6805459,-36.26934835,-375.8829631,-725.9246007999999,-25.8413254,18758.85383,2
55,R04988,55,177.1239511,861.0592401,-39.90422549,137.2197256,-2445.9579949999998,2720.397446,-6653977.882,0
56,R04984,56,-386.9202067,180.52714709999998,3.562967061,-383.3572397,-924.9386810000001,158.2242016,-146347.6843,0
57,R04987,57,-448.88412860000005,116.60878729999999,44.81148202,-404.0726466,-753.8990085,-54.246284700000004,40896.22025,2
58,R04986,58,-32.27608838,9.288126607999999,41.16515067,8.889062298999999,-18.97531753,36.75344212,-697.4082344,0
59,R04981,59,361.18641339999994,506.3956481000001,-39.90422549,321.2821879,-1197.9047560000001,1840.469132,-2204706.727,0
60,R04980,60,-643.5162982999999,455.661241,44.81148202,-598.7048163,-1965.688539,768.2789067000001,-1510197.042,0
61,R04983,61,77.58108015,220.4805142,-39.92256165,37.65851851,-623.7830241,699.1000611000001,-436086.7503,0
62,R04982,62,-311.9495943,116.6710247,0.006577146999999999,-311.9430172,-661.9560913,38.0700569,-25200.70606,0
63,R04185,63,54.24942239999999,7.042021035,-42.30820373,11.94121867,-9.184844435,33.06728178,-303.717839,0
64,R04187,64,-3.402308855,8.300657201,0.009195599,-3.3931132560000004,-28.29508486,21.50885835,-608.5949721,0
65,R04189,65,-122.7128246,10.87784789,79.78104028,-42.93178434,-75.56532801,-10.29824067,778.1899342,0
66,R04188,66,3.402308855,8.300657201,1.207087051,4.609395907,-20.292575699999997,29.51136751,-598.8616591,0
67,R03518,67,-9.133153106,114.711798,-41.19711252,-50.33026562,-394.46565960000004,293.8051284,-115896.0338,0
68,R04235,68,-43.31185427,6.30279935,42.32130216,-0.990552103,-19.89895015,17.91784595,-356.5463233,0
69,R04234,69,49.88272435,85.14195861,0.523477559,50.40620191,-205.01967390000002,305.83207769999996,-62701.59285,0
70,R03512,70,44.89465461,11.2572823,-0.009695891,44.88495872,11.11311182,78.65680562,874.1218763,0
71,R03511,71,45.48407974,156.098259,-0.009736499000000001,45.47434324,-422.82043380000005,513.7691202,-217232.0823,0
72,R04230,72,62.79799096,6.389442169,-82.12242493,-19.32443397,-38.49276048,-0.156107463,6.009007182,0
73,R07522,73,70.86905731,73.85175295,0.0,70.86905731,-150.68620149999998,292.4243162,-44064.30944,0
74,R07523,74,147.763168,90.17149096,-81.09339936,66.66976863,-203.84470430000002,337.1842415,-68733.22198999999,0
75,R07521,75,107.3910101,254.5174259,-39.92256165,67.4684485,-696.0838292000001,831.0207262,-578460.0892,0
76,R07527,76,107.3910101,220.49256569999997,-39.92256165,67.4684485,-594.0092486000001,728.9461456,-433000.7522,0
77,R03633,77,121.27490359999999,220.83486749999997,-39.91487527,81.36002832,-581.1445742000001,743.8646307999999,-432292.8941,0
78,R03630,78,-246.40507659999997,14.075412400000001,42.40369234,-204.0013843,-246.2276215,-161.7751471,39833.50969,2
79,R03631,79,60.26324565,11.65792188,-40.96101931,19.30222634,-15.671539300000001,54.27599198,-850.5883413999999,0
