,Unnamed: 0,ID,dG,std
0,0,R00001,-2669.7888586127237,3.728671151959583
1,1,R00002,,
2,2,R00004,-14.935338074802472,3.2860470251648084
3,3,R00005,-95.93561571800984,33.67482179721791
4,4,R00006,23.48270884683193,47.94364761659492
5,5,R00008,-5.804669282363989,47.24368608576076
6,6,R00009,-194.7168432003258,8.1881555641515
7,7,R00010,-12.452313444668874,3.489999784167189
8,8,R00011,-272.7670743964994,94.1815947346665
9,9,R00012,1.9718431880847904,3.6984403703268978
10,10,R00013,-21.2163668706973,5.809503198296487
11,11,R00014,-30.22487015022982,58.70566957164023
12,12,R00015,-21.438902053379422,48.70796525234106
13,13,R00017,,
14,14,R00018,-19.63310411609706,75.56620508158403
15,15,R00019,,
16,16,R00021,,
17,17,R00022,10.51970200862263,44.83115166376158
18,18,R00023,-20.201921594245107,92.1540265189438
19,19,R00024,-36.83502595983511,4.942234533215917
20,20,R00025,-424.3784308192291,62.96461279683939
21,21,R00026,25.664851868439087,66.0034261209102
22,22,R00027,9.9210853227019,88.41204308818084
23,23,R00028,24.2892768344384,66.18112169479441
24,24,R00029,,
25,25,R00031,-203.7309991080391,115.23396966755966
26,26,R00032,-304.0765107117736,157.31529518129753
27,27,R00033,-121.6241556731145,18.3143735169265
28,28,R00034,,
29,29,R00036,-163.23671513411406,100.48432821892028
30,30,R00038,-35.32412840691285,68.16515868545353
31,31,R00039,9.896031607735084,40.44059651960512
32,32,R00041,,
33,33,R00042,-538.1531790933567,66.74791754296797
34,34,R00043,-259.5309041276568,114.22118884097888
35,35,R00044,-118.5134848997566,130.25630727271698
36,36,R00045,-620.030771039815,186.4249833313185
37,37,R00047,,
38,38,R00048,-36.38896795844394,30.53280588477537
39,39,R00049,-45.7684263217074,35.48415375980046
40,40,R00052,,
41,41,R00053,-75.2676855984601,67.73800163393693
42,42,R00054,-76.84325622721363,72.48076529054835
43,43,R00055,-403.26980097508215,47.16387483362812
44,44,R00056,,
45,45,R00057,,
46,46,R00058,-550.0081616168026,219.60470019359255
47,47,R00059,0.3237726194981007,38.76030154156439
48,48,R00060,-626.715442288797,278.9936702182922
49,49,R00061,-631.4495103565255,278.806388200463
50,50,R00062,0.0064045472865927,3.2791974649514657
51,51,R00063,-44.921216050589415,41.77279973239616
52,52,R00066,59.23400370540088,210.31238616260467
53,53,R00067,,
54,54,R00068,-322.66865634231044,202.87762874183804
55,55,R00069,89.83240773666493,59.88964500343211
56,56,R00070,-444.1794873092251,311.56215911653345
57,57,R00072,-145.47641959207812,22.74906868197036
58,58,R00073,,
59,59,R00074,-1223.188617002157,227.65479171840855
60,60,R00075,-73.87358234637047,297.5647536504854
61,61,R00076,,
62,62,R00077,,
63,63,R00078,,
64,64,R00080,-906.9913110610878,359.4198341795766
65,65,R00081,,
66,66,R00082,,
67,67,R00083,,
68,68,R00084,-297.10033838962346,212.25919615047505
69,69,R00085,-50.36286166249454,3.336381368419587
70,70,R00086,-26.14264444932013,3.2940239250001677
71,71,R00087,-35.427523587692065,3.331760149384354
72,72,R00088,-23.649445776723557,3.374902400285458
73,73,R00089,7.188115121650789,3.460505918316949
74,74,R00090,-328.67982497386663,4.854669916441176
75,75,R00091,2.7134728160838364,7.37199554058873
76,76,R00092,,
77,77,R00093,49.01826500421521,3.428671357978518
78,78,R00094,18.4552762852241,3.394277549257731
79,79,R00095,249.9583118729231,168.34616957863088
80,80,R00097,381.0175154623103,3.58157926069554
81,81,R00099,65.24515773909025,3.331693695446193
82,82,R00100,,
83,83,R00101,,
84,84,R00102,-19.06706466140133,33.29143584591316
85,85,R00103,-35.170438314681746,3.7440293768319015
86,86,R00104,-12.239141429412712,4.6327995729350295
87,87,R00105,-15.473452829652842,4.6327995729350295
88,88,R00106,,
89,89,R00107,-377.7832040620717,3.58157926069554
90,90,R00108,,
91,91,R00109,,
92,92,R00111,-683.8936241527538,166.16902840922154
93,93,R00112,3.234311400239904,3.2791974649514657
94,94,R00113,-325.4455135736267,4.854669916441176
95,95,R00114,45.783953603975306,3.428671357978518
96,96,R00115,15.220964884983744,3.394277549257731
97,97,R00118,-13.903503019907165,4.643280022774189
0,0,R00119,-12.143220426211684,5.835116206120005
1,1,R00120,-115.50770548831692,5.774803739977494
2,2,R00122,-24.220217213174408,3.295430063736404
3,3,R00123,-23.647636412833396,3.374902400285458
4,4,R00124,0.0,3.2791974649514657
5,5,R00125,-39.5437888657284,3.754012776890237
6,6,R00126,13.401144416408442,3.716715788427085
7,7,R00127,-1.9224272361457224,3.283777273671451
8,8,R00128,-24.37843598659066,3.2940239250001677
9,9,R00129,-123.3665233703582,73.74864769153297
10,10,R00130,2.401783289438981,4.635903066973693
11,11,R00131,-30.63542590768506,6.037236963627296
12,12,R00132,5.144282343712817,4.755248207433513
13,13,R00134,-15.683342644165975,4.904454518780333
14,14,R00135,,
15,15,R00137,-0.2570852730102615,3.695327526535351
16,16,R00138,-14.94749824734052,3.2940239250001677
17,17,R00139,0.0225750580240173,3.2791974649514657
18,18,R00140,1.78105017699977,3.283777273671451
19,19,R00141,504.2889593987228,62.77727569536365
20,20,R00143,254.30916100550536,63.84532910598607
21,21,R00145,,
22,22,R00146,,
23,23,R00148,-122.93746177691833,64.0007666319864
24,24,R00149,0.2215632371665208,5.486827114322259
25,25,R00150,26.364207686486537,5.48362434234828
26,26,R00152,-73.682307295306,5.021791812467385
27,27,R00153,,
28,28,R00155,-23.21609509283934,3.295430063736404
29,29,R00156,-1.4710852028083536,3.2791974649514657
30,30,R00157,-0.4513420333373688,3.283777273671451
31,31,R00158,-2.926549356480791,3.283777273671451
32,32,R00159,-24.671559246511777,3.2940239250001677
33,33,R00160,-21.88610337013557,52.20929404108652
34,34,R00161,-13.54142021755652,52.20625999325716
35,35,R00162,,
36,36,R00164,,
37,37,R00165,,
38,38,R00166,,
39,39,R00167,,
40,40,R00168,,
41,41,R00169,,
42,42,R00170,,
43,43,R00172,,
44,44,R00173,3.6322377701572464,42.13248298836267
45,45,R00174,-29.774882219477437,42.13224723193477
46,46,R00175,45.81253405811256,95.75282141363616
47,47,R00177,75.58837643173614,98.95663003005458
48,48,R00178,-34.52252458555125,23.392495543377407
49,49,R00179,-40.172589749391214,102.41152994019558
50,50,R00180,43.367448263615934,106.5961157927532
51,51,R00181,-23.643278660939373,3.374902400285458
52,52,R00182,-12.723221507978906,3.561376301696839
53,53,R00183,-12.287390033798658,3.301116527671696
54,54,R00184,-37.62136162958268,3.7450135891448944
55,55,R00185,-13.855254415521472,3.3031330777153185
56,56,R00187,-37.96326781342816,3.7450135891448944
57,57,R00188,2.014601789672384,28.9412398741642
58,58,R00189,0.5193219125487474,69.15454856729039
59,59,R00190,18.425121405046127,3.535195780497318
60,60,R00191,-42.615638709342846,3.5038563060737427
61,61,R00192,34.7634454500777,4.635824345251317
62,62,R00193,-23.63259998840722,3.374902400285458
63,63,R00194,1.938539928849309,31.656596857134165
